title,genres,budget,revenue,popularity,runtime,vote_average,success,movie_id,perfect_ratio
Movie 1,Romance,57755036,107323371,60.38,98,6.61,1,10749.0,1.8582513047000784
Movie 2,Drama,192100010,342896533,86.29,96,7.18,1,18.0,1.7849896676215686
Movie 3,Comedy,128521863,253206827,87.0,148,3.54,1,35.0,1.9701459431847794
Movie 4,Drama,156299516,89635602,72.71,118,5.99,0,18.0,0.57348611367421
Movie 5,Comedy,148532820,221133868,74.83,161,4.58,1,35.0,1.488787919060582
Movie 6,Romance,134224038,270524761,56.23,150,7.35,1,10749.0,2.0154717815895244
Movie 7,Adventure,36788921,73368473,58.88,160,4.14,1,12.0,1.9943089116421762
Movie 8,Action,134120466,332939335,14.23,118,8.35,1,28.0,2.4823902341645607
Movie 9,Horror,161953558,346179511,44.94,115,5.59,1,27.0,2.137523344809751
Movie 10,Horror,94410762,281375537,45.63,119,4.19,1,27.0,2.980333290816994
Movie 11,Action,92090292,111395762,95.89,124,5.63,1,28.0,1.2096363208404204
Movie 12,Horror,166850211,233236168,43.68,83,5.45,1,27.0,1.3978775729567403
Movie 13,Horror,77737383,113466874,55.38,104,5.57,1,27.0,1.4596178777976099
Movie 14,N/A,89358551,148740169,53.79,148,6.51,1,N/A,1.6645320155202605
Movie 15,Adventure,112190146,290571935,64.04,109,6.13,1,12.0,2.589995158754852
Movie 16,Drama,89409749,97410154,75.08,155,3.9,1,18.0,1.0894802310651828
Movie 17,Animation,140199233,342086201,23.28,147,3.39,1,16.0,2.4400005169785772
Movie 18,Action,149171095,225736957,53.34,167,7.38,1,28.0,1.513275457286145
Movie 19,Romance,86652971,173707878,82.77,108,6.36,1,10749.0,2.0046384560778647
Movie 20,Comedy,5521373,11491917,46.85,152,5.15,1,35.0,2.0813513233030987
Movie 21,Horror,107683173,154215397,28.57,147,7.85,1,27.0,1.4321215906221485
Movie 22,N/A,4344769,7740371,65.82,130,5.33,1,N/A,1.7815379828018474
Movie 23,Thriller,107328085,164488655,82.55,103,7.78,1,53.0,1.5325779361478404
Movie 24,Horror,31349564,21092988,7.25,93,4.83,0,27.0,0.6728319411395961
Movie 25,Comedy,100052376,159374777,77.9,148,3.44,1,35.0,1.5929134656432347
Movie 26,Science Fiction,178077808,132397908,82.34,97,8.6,0,878.0,0.743483477739124
Movie 27,Drama,107406362,162457707,46.69,121,5.37,1,18.0,1.512551993893993
Movie 28,Adventure,107777086,213646086,98.35,136,7.76,1,12.0,1.9822959956441948
Movie 29,Animation,63250665,123246276,78.88,162,4.67,1,16.0,1.9485372367231237
Movie 30,Science Fiction,182009883,392513995,77.59,91,6.88,1,878.0,2.1565531966195484
Movie 31,Thriller,156716283,115680715,75.04,161,8.24,0,53.0,0.7381537692544686
Movie 32,Adventure,195438926,416345129,15.91,96,3.25,1,12.0,2.1303081096546754
Movie 33,Animation,80757501,103399493,22.51,109,7.98,1,16.0,1.2803701417159998
Movie 34,Science Fiction,121716221,182284021,46.94,167,6.43,1,878.0,1.4976148577600024
Movie 35,N/A,152079598,402245310,27.14,154,6.64,1,N/A,2.644965631747659
Movie 36,Animation,53286002,27845986,42.11,178,6.14,0,16.0,0.5225760041070449
Movie 37,Science Fiction,33049003,65140628,88.96,102,8.25,1,878.0,1.9710315618295657
Movie 38,Animation,62136438,124073104,82.61,160,3.26,1,16.0,1.9967849460569336
Movie 39,Animation,197412659,294470482,63.37,80,4.57,1,16.0,1.4916494387525574
Movie 40,Science Fiction,129482111,141468223,85.95,158,8.25,1,878.0,1.0925696368975635
Movie 41,Romance,126683192,137664736,78.59,111,7.51,1,10749.0,1.0866850907893133
Movie 42,Animation,194466162,526862150,43.47,88,3.11,1,16.0,2.7092741718222424
Movie 43,Action,196524628,315434003,20.91,94,6.1,1,28.0,1.6050609341440911
Movie 44,Action,56831368,75427921,51.91,107,6.18,1,28.0,1.3272233918423362
Movie 45,Horror,11959014,19396850,73.89,103,5.41,1,27.0,1.6219439161121476
Movie 46,Adventure,57972561,126001970,44.21,139,4.78,1,12.0,2.1734760001373754
Movie 47,Romance,49900483,43133549,67.01,114,7.09,0,10749.0,0.8643914128045614
Movie 48,Drama,21193880,34410056,10.34,165,4.25,1,18.0,1.6235845442174817
Movie 49,Romance,121826171,239962340,75.05,106,7.79,1,10749.0,1.9697109252493867
Movie 50,Animation,4385357,12592370,81.46,162,7.82,1,16.0,2.8714583556139215
Movie 51,Horror,45738553,51744914,70.98,155,5.49,1,27.0,1.1313194363625803
Movie 52,Romance,69574553,97274052,96.76,99,4.7,1,10749.0,1.3981268697479092
Movie 53,Adventure,152063092,220247646,82.84,144,4.7,1,12.0,1.4483964721695912
Movie 54,Horror,187375041,377344363,90.41,164,5.89,1,27.0,2.0138453925675193
Movie 55,N/A,12392366,17248068,93.42,128,7.32,1,N/A,1.3918300992724069
Movie 56,Thriller,89883975,164827418,80.33,80,5.15,1,53.0,1.8337798033520436
Movie 57,Action,148697582,364974620,67.75,89,6.66,1,28.0,2.454475823285412
Movie 58,Horror,148405005,335909384,1.57,126,5.29,1,27.0,2.263463984924228
Movie 59,Comedy,69979792,113081858,47.12,138,4.83,1,35.0,1.6159216077692828
Movie 60,Thriller,38709731,102988804,57.55,175,3.15,1,53.0,2.6605404207019676
Movie 61,Action,162156967,307344308,31.1,141,3.02,1,28.0,1.8953506203652661
Movie 62,Thriller,24027075,44444432,32.49,165,4.36,1,53.0,1.8497645676804189
Movie 63,Adventure,87191493,51047952,96.15,97,5.44,0,12.0,0.5854694104159909
Movie 64,Drama,88796277,263434796,89.28,125,8.11,1,18.0,2.9667324453253823
Movie 65,N/A,23335235,18841499,85.07,111,7.79,0,N/A,0.807427008984482
Movie 66,N/A,135489564,146034348,41.2,106,4.6,1,N/A,1.0778272782691958
Movie 67,Comedy,138802430,87340331,2.36,171,4.47,0,35.0,0.6292420889173194
Movie 68,N/A,128924625,270742668,8.94,97,4.36,1,N/A,2.100007411307188
Movie 69,Animation,108944665,115672318,31.91,118,5.04,1,16.0,1.0617529366857936
Movie 70,Animation,53631083,50950928,2.56,128,5.99,0,16.0,0.9500260884159285
Movie 71,Drama,9585377,6914785,2.7,172,5.63,0,18.0,0.72138894484797
Movie 72,Romance,87544585,66382641,91.74,161,4.31,0,10749.0,0.7582723820096925
Movie 73,Animation,86157821,169013794,70.91,123,3.78,1,16.0,1.9616767466763116
Movie 74,Animation,153041741,339832195,31.59,151,3.08,1,16.0,2.22051966201822
Movie 75,Horror,171819422,256603281,14.13,133,3.92,1,27.0,1.493447469518318
Movie 76,Romance,61304654,104202138,51.65,174,7.23,1,10749.0,1.6997426981644819
Movie 77,Science Fiction,112636935,249481725,1.53,113,4.46,1,878.0,2.214919333520572
Movie 78,Thriller,35119117,19085465,93.9,150,5.81,0,53.0,0.5434494551785001
Movie 79,Science Fiction,37433622,48956688,42.07,115,6.55,1,878.0,1.3078266377749928
Movie 80,Romance,90482491,265362016,40.83,97,8.32,1,10749.0,2.9327443692946074
Movie 81,Romance,195249720,380791736,39.67,117,8.33,1,10749.0,1.9502805740259193
Movie 82,Drama,102670589,116588762,7.86,138,7.47,1,18.0,1.135561441066633
Movie 83,Drama,56105831,101233160,64.19,88,3.21,1,18.0,1.8043251155125035
Movie 84,Science Fiction,138584340,188008188,73.57,152,6.45,1,878.0,1.356633714891596
Movie 85,Drama,59743503,109367201,67.94,151,7.72,1,18.0,1.8306124600695075
Movie 86,Animation,92693393,75485214,14.71,130,3.1,0,16.0,0.8143537695291831
Movie 87,Romance,171476398,142631775,58.31,114,6.3,0,10749.0,0.8317866287347604
Movie 88,Romance,70739572,60755099,57.38,161,8.15,0,10749.0,0.8588559031711416
Movie 89,Horror,105157975,299652852,86.97,84,5.84,1,27.0,2.849549470689218
Movie 90,Drama,191066585,445614526,38.53,93,3.02,1,18.0,2.3322472948370327
Movie 91,Animation,120208152,108903144,37.78,171,3.07,0,16.0,0.9059547309237397
Movie 92,Animation,133862715,129963656,62.23,109,5.5,0,16.0,0.9708727034260436
Movie 93,Comedy,192273147,447433781,63.67,83,3.93,1,35.0,2.3270736864779145
Movie 94,Adventure,184378299,164172209,47.46,118,6.99,0,12.0,0.8904096083455028
Movie 95,Romance,112665644,122400319,44.86,163,7.25,1,10749.0,1.0864032251038303
Movie 96,Comedy,69394024,201823295,49.92,143,4.07,1,35.0,2.908367080715769
Movie 97,Comedy,199743196,227360951,86.24,104,8.33,1,35.0,1.1382663117095613
Movie 98,N/A,173945196,374692020,46.66,107,5.65,1,N/A,2.1540808749900746
Movie 99,Science Fiction,52757120,155452980,94.05,155,3.86,1,878.0,2.9465782059369428
Movie 100,Animation,68157848,97857079,50.9,145,7.59,1,16.0,1.435741911921867
Movie 101,Romance,96540567,52497792,94.97,157,7.74,0,10749.0,0.5437899696611478
Movie 102,Action,86390464,95925226,83.45,101,6.84,1,28.0,1.1103682230483216
Movie 103,Thriller,49170987,126723122,36.88,110,8.12,1,53.0,2.5771929695045577
Movie 104,Romance,187780295,499781403,86.5,102,7.42,1,10749.0,2.6615220888858437
Movie 105,Science Fiction,24717335,59848043,11.9,127,8.29,1,878.0,2.421298372174832
Movie 106,Comedy,61472382,48119016,92.58,99,5.6,0,35.0,0.78277454743823
Movie 107,Adventure,13719242,34144119,63.53,117,7.49,1,12.0,2.4887759105058427
Movie 108,Horror,49715250,139038365,6.38,134,9.0,1,27.0,2.796694475035326
Movie 109,Science Fiction,84139152,168406519,64.78,147,7.35,1,878.0,2.001523844690044
Movie 110,N/A,103400391,294917394,97.45,158,3.69,1,N/A,2.8521883829240067
Movie 111,Horror,179271906,460208409,7.91,167,6.11,1,27.0,2.567097205961541
Movie 112,Comedy,173552610,376162923,55.91,168,6.52,1,35.0,2.1674287871556643
Movie 113,Romance,92355424,179443180,75.03,80,4.05,1,10749.0,1.942963090072544
Movie 114,Romance,187659194,257362230,81.22,86,8.78,1,10749.0,1.3714341648509905
Movie 115,Animation,50583876,45435378,41.97,136,4.05,0,16.0,0.8982185943995277
Movie 116,Science Fiction,198421286,399299981,21.21,174,4.07,1,878.0,2.0123848053277915
Movie 117,Animation,112999993,146366504,5.19,91,8.49,1,16.0,1.2952788766986916
Movie 118,Science Fiction,172625499,460236267,58.39,84,5.79,1,878.0,2.666096663969672
